date,basis,contract,category,long,short,spread,net,net_chg,pctile,z,traders_long,traders_short,oi
2007-05-22,combined,ust2y,other_rept,78018,27617,2227,50401,-1693,,,21,10,1244475
2007-05-22,combined,ust2y,nonrept,213489,78935,,134554,73374,,,,,1244475
2007-05-29,combined,ust2y,dealer,118560,208128,97799,-89568,-11471,,,32,20,1163571
2007-05-29,combined,ust2y,asset_mgr,421037,167602,67771,253435,95066,,,51,16,1163571
2007-05-29,combined,ust2y,lev_money,115755,363401,81336,-247646,17581,,,21,32,1163571
2007-05-29,combined,ust2y,other_rept,61174,22903,1307,38271,-12130,,,16,7,1163571
2007-05-29,combined,ust2y,nonrept,198833,153325,,45508,-89046,,,,,1163571
2007-06-05,combined,ust2y,dealer,120197,256586,50484,-136389,-46821,,,31,15,1001346
2007-06-05,combined,ust2y,asset_mgr,425534,172225,67875,253309,-126,,,49,20,1001346
2007-06-05,combined,ust2y,lev_money,118039,299342,19828,-181303,66343,,,22,28,1001346
2007-06-05,combined,ust2y,other_rept,56180,32984,1693,23196,-15075,,,16,12,1001346
2007-06-05,combined,ust2y,nonrept,141516,100329,,41187,-4321,,,,,1001346
2007-06-12,combined,ust2y,dealer,135517,288051,41135,-152534,-16145,,,27,21,985301
2007-06-12,combined,ust2y,asset_mgr,363779,158741,70342,205038,-48271,,,42,23,985301
2007-06-12,combined,ust2y,lev_money,127298,276409,17998,-149111,32192,,,23,30,985301
2007-06-12,combined,ust2y,other_rept,77196,32727,3014,44469,21273,,,17,11,985301
2007-06-12,combined,ust2y,nonrept,149022,96884,,52138,10951,,,,,985301
2007-06-19,combined,ust2y,dealer,96611,281432,43953,-184821,-32287,,,28,21,953730
2007-06-19,combined,ust2y,asset_mgr,381563,174794,80637,206769,1731,,,43,25,953730
2007-06-19,combined,ust2y,lev_money,135652,231099,10905,-95447,53664,,,30,28,953730
2007-06-19,combined,ust2y,other_rept,74604,41879,2179,32725,-11744,,,15,13,953730
2007-06-19,combined,ust2y,nonrept,127627,86853,,40774,-11364,,,,,953730
2007-06-26,combined,ust2y,dealer,94556,249009,45644,-154453,30368,,,31,20,965797
2007-06-26,combined,ust2y,asset_mgr,358379,231686,81800,126693,-80076,,,45,25,965797
2007-06-26,combined,ust2y,lev_money,172723,203085,11448,-30362,65085,,,29,26,965797
2007-06-26,combined,ust2y,other_rept,76030,45931,4722,30099,-2626,,,13,15,965797
2007-06-26,combined,ust2y,nonrept,120496,92472,,28024,-12750,,,,,965797
2007-07-03,combined,ust2y,dealer,94561,258941,55471,-164380,-9927,,,33,20,1003116
2007-07-03,combined,ust2y,asset_mgr,387177,250939,78825,136238,9545,,,47,26,1003116
2007-07-03,combined,ust2y,lev_money,179442,206282,11563,-26840,3522,,,27,25,1003116
2007-07-03,combined,ust2y,other_rept,66401,46950,5488,19451,-10648,,,15,14,1003116
2007-07-03,combined,ust2y,nonrept,124188,88658,,35530,7506,,,,,1003116
2007-07-10,combined,ust2y,dealer,106010,286616,44952,-180606,-16226,,,36,21,1014298
2007-07-10,combined,ust2y,asset_mgr,386035,244431,79359,141604,5366,,,47,25,1014298
2007-07-10,combined,ust2y,lev_money,174654,209208,11879,-34554,-7714,,,27,27,1014298
2007-07-10,combined,ust2y,other_rept,76999,35101,6556,41898,22447,,,15,16,1014298
2007-07-10,combined,ust2y,nonrept,127854,96196,,31658,-3872,,,,,1014298
2007-07-17,combined,ust2y,dealer,111295,294477,43643,-183182,-2576,,,33,17,1021762
2007-07-17,combined,ust2y,asset_mgr,401802,236998,80039,164804,23200,,,48,24,1021762
2007-07-17,combined,ust2y,lev_money,166027,224044,14844,-58017,-23463,,,33,25,1021762
2007-07-17,combined,ust2y,other_rept,75860,35196,6363,40664,-1234,,,15,14,1021762
2007-07-17,combined,ust2y,nonrept,121889,86157,,35732,4074,,,,,1021762
2007-07-24,combined,ust2y,dealer,119476,325816,41848,-206340,-23158,,,35,17,1058818
2007-07-24,combined,ust2y,asset_mgr,406853,239366,75648,167487,2683,,,48,22,1058818
2007-07-24,combined,ust2y,lev_money,177845,180207,28085,-2362,55655,,,33,26,1058818
2007-07-24,combined,ust2y,other_rept,74799,49823,7423,24976,-15688,,,14,15,1058818
2007-07-24,combined,ust2y,nonrept,126842,110604,,16238,-19494,,,,,1058818
2007-07-31,combined,ust2y,dealer,119879,313990,55334,-194111,12229,,,26,21,1061438
2007-07-31,combined,ust2y,asset_mgr,403395,231220,89701,172175,4688,,,47,22,1061438
2007-07-31,combined,ust2y,lev_money,156591,197027,24536,-40436,-38074,,,35,25,1061438
2007-07-31,combined,ust2y,other_rept,56990,32857,8695,24133,-843,,,12,12,1061438
2007-07-31,combined,ust2y,nonrept,146317,108077,,38240,22002,,,,,1061438
2007-08-07,combined,ust2y,dealer,142709,251060,44615,-108351,85760,,,34,19,1079296
2007-08-07,combined,ust2y,asset_mgr,341602,206254,147823,135348,-36827,,,43,25,1079296
2007-08-07,combined,ust2y,lev_money,174779,252064,24295,-77285,-36849,,,32,24,1079296
2007-08-07,combined,ust2y,other_rept,52776,39290,7243,13486,-10647,,,15,14,1079296
2007-08-07,combined,ust2y,nonrept,143455,106651,,36804,-1436,,,,,1079296
2007-08-14,combined,ust2y,dealer,146429,236637,49143,-90208,18143,,,33,21,1037499
2007-08-14,combined,ust2y,asset_mgr,302308,186798,151050,115510,-19838,,,47,21,1037499
